id,account,ticker,entry_date,entry_price,shares,exit_date,exit_price,reason,close_type,pnl_abs,pnl_pct
IRA-MS-2025-12-19,IRA,MS,2025-12-19,172.96,84,2025-12-26,181.65,TARGET,TARGET,729.96,5.02
IRA-MCHP-2026-01-01,IRA,MCHP,2026-01-01,63.72,230,2026-01-06,74.87,TARGET,TARGET,2564.50,17.50
INDIVIDUAL-WMT-2025-12-23,INDIVIDUAL,WMT,2025-12-23,112.60,33,2026-01-13,117.97,TARGET,TARGET,177.21,4.77
IRA-GOOGL-2026-01-20,IRA,GOOGL,2026-01-20,322.00,45,2026-01-30,338.22,TARGET,TARGET,729.90,5.04
INDIVIDUAL-WMT-2026-01-27,INDIVIDUAL,WMT,2026-01-27,116.81,32,2026-02-02,124.06,TARGET,TARGET,232.00,6.21
INDIVIDUAL-COST-2026-01-30,INDIVIDUAL,COST,2026-01-30,937.50,3,2026-02-03,989.00,TARGET,TARGET,154.50,5.49
IRA-COST-2026-01-30,IRA,COST,2026-01-30,938.58,15,2026-02-03,989.00,TARGET,TARGET,756.30,5.37
INDIVIDUAL-AVGO-2026-05-12,INDIVIDUAL,AVGO,2026-05-12,424.72,23,2026-05-12,411.83,STOP,STOP,-296.47,-3.03
INDIVIDUAL-TSM-2026-05-12,INDIVIDUAL,TSM,2026-05-12,395.90,25,2026-05-12,392.51,STOP,STOP,-84.75,-0.86
INDIVIDUAL-ON-2026-05-12,INDIVIDUAL,ON,2026-05-12,101.92,98,2026-05-12,98.87,STOP,STOP,-298.90,-2.99
INDIVIDUAL-GOOGL-2026-05-12,INDIVIDUAL,GOOGL,2026-05-12,386.59,25,2026-05-14,402.62,TARGET,TARGET,400.75,4.15
INDIVIDUAL-MS-2026-05-12,INDIVIDUAL,MS,2026-05-12,187.22,53,2026-05-14,193.83,TARGET,TARGET,350.33,3.53
INDIVIDUAL-TSM-2026-05-13,INDIVIDUAL,TSM,2026-05-13,394.11,25,2026-05-14,419.73,TARGET,TARGET,640.50,6.50
INDIVIDUAL-AVGO-2026-05-13,INDIVIDUAL,AVGO,2026-05-13,409.32,24,2026-05-14,436.55,TARGET,TARGET,653.52,6.65
